Geography_state,avg_diff_male_female
" PR",-659.0000
" DC",6051.0000
" FL",7223.0294
" NC",8706.0696
" VT",9958.7130
" SC",9973.0723
" HI",9977.0000
" GA",10040.0286
" TN",10276.5643
" ME",10335.2421
" AR",10371.0118
" DE",10593.8235
" AZ",10732.8450
" MS",10744.9058
" NM",10852.2778
" KY",11310.5449
" SD",11640.4881
,11656.0000
" MO",11758.0240
" VA",11780.0075
" OR",12382.0960
" AL",12417.0397
" AK",12763.4865
" MT",12906.5639
" WI",13253.5814
" OK",13573.1633
" MI",13767.0622
" MN",13832.6463
" MD",14058.7600
" WV",14274.0179
" IA",14283.5873
" CO",14289.5143
" CA",14468.7363
" KS",14483.6822
" NH",14532.4824
" OH",14570.3942
" ID",14639.5789
" NY",14656.5279
" IN",14928.9667
" TX",14935.3236
" NE",14951.7055
" PA",15096.4116
" WA",15633.3934
" RI",15935.4324
" IL",17009.0613
" LA",17775.9706
" MA",17822.9037
" NV",18455.2000
" NJ",18523.4238
" CT",18878.3438
" ND",19911.4557
" UT",21727.1351
" WY",22454.5278
